id,city,rating,average_temp,type
1,Kotaagung,3,90,city
2,Leigao,2,37,city
3,Shanga,4,72,beach
4,Gardēz,2,55,rural
5,Piritiba,3,98,rural
6,Esch-sur-Alzette,5,94,beach
7,Fushëkuqe,2,73,city
8,Bacacay,1,43,beach
9,Tasböget,2,53,city
10,Paço,4,35,city
11,Dazhou,3,42,city
12,Łukowa,5,57,rural
13,Yetang,3,19,city
14,Penhascoso,4,81,city
15,Guinoaliuan,3,24,city
16,Yaurisque,2,53,rural
17,Vovchans’k,3,20,city
18,Hodkovice nad Mohelkou,1,83,city
19,Niort,2,22,beach
20,Margara,5,70,beach
21,Celorico de Basto,1,58,beach
22,Sukawening,1,23,beach
23,Luxi,3,37,beach
24,Saint-Sauveur,4,77,rural
25,Belišće,2,24,beach
26,Oulmes,1,48,rural
27,Veracruz,3,42,city
28,Chiantla,1,61,rural
29,Aguilares,1,23,city
30,Jaguaribe,4,41,city
31,Al Bawīţī,4,64,beach
32,Itororó,3,74,beach
33,Szczaniec,4,59,beach
34,Vatutine,2,21,beach
35,Cernay,3,26,rural
36,Merapit,2,72,beach
37,Praingkareha,4,20,rural
38,Nasavrky,2,36,rural
39,Haylaastay,5,91,city
40,Göteborg,1,34,city
41,Palama,1,93,city
42,Zhongxiang,4,25,beach
43,Kademangan,1,34,city
44,Banyutengah,3,97,rural
45,Maji,1,95,rural
46,Ekpoma,1,43,beach
47,Lypnyazhka,4,57,rural
48,Dobri Dol,2,62,city
49,Trafaria,5,55,city
50,Gunungbatu,4,36,rural
51,Awilega,3,99,city
52,Beitou,5,68,city
53,Al ‘Ashshah,4,87,city
54,Ha,2,89,rural
55,Grabów,1,32,city
56,Malax,4,22,rural
57,La Loma,4,98,city
58,Bielice,2,88,city
59,Chakou,3,79,beach
60,Tacoma,1,39,city
61,Sopla,5,19,city
62,Waiklibang,1,62,rural
63,San Miguel,4,61,rural
64,Si Khoraphum,5,26,city
65,Qingnianlu,3,69,rural
66,Santo Niño,2,83,rural
67,Neglasari,1,37,city
68,Kotauneng,5,27,rural
69,Rimba Sekampung,4,18,beach
70,Orzesze,2,62,rural
71,Camiri,3,51,rural
72,Fujinomiya,1,71,city
73,Xirikxiy,5,78,beach
74,São Tomé,4,60,beach
75,Kwidzyn,1,22,city
76,Shiye,1,21,city
77,Empangeni,2,55,rural
78,Mykonos,1,76,beach
79,Akureyri,4,36,city
80,Zárkos,3,53,city
81,Sīrīs,5,93,beach
82,Senador Canedo,5,35,beach
83,Kashirskoye,4,43,beach
84,Kourou,4,65,beach
85,Avlónas,3,24,beach
86,Americana,1,33,city
87,Enköping,4,65,rural
88,Anshan,3,86,beach
89,Daliciasao,4,19,rural
90,Lautaro,4,83,city
91,Yudong,5,42,beach
92,Wangdain,2,83,rural
93,Maxiao,1,88,city
94,Liozon,1,55,city
95,Verkhovyna,3,23,rural
96,Teutônia,4,79,beach
97,Tapiramutá,3,38,beach
98,Yŏnan-ŭp,1,39,rural
99,Coihaique,1,51,city
100,Heqian,1,20,city
101,Zamoskvorech’ye,1,76,city
102,Tysmenychany,5,84,beach
103,Tlatah,1,82,beach
104,Banjar Tengah,1,44,rural
105,Gia Ray,5,48,city
106,Muqui,5,20,beach
107,Cheremshan,4,40,beach
108,Lungmar,3,39,rural
109,Malita,4,89,rural
110,Caicara,1,69,beach
111,Mensalong,1,55,beach
112,Guanqian,3,26,beach
113,Chambishi,3,45,beach
114,Placer,2,36,city
115,Talibura,1,61,beach
116,New York City,3,35,rural
117,El Coco,4,85,beach
118,Ambovombe,3,91,city
119,Kitamilo,2,76,beach
120,Quintã,4,58,beach
121,Dūst Moḩammad Khān,1,37,beach
122,Zelenchukskaya,3,93,rural
123,Virovitica,3,20,rural
124,Songhae,2,67,rural
125,Dingzigu,1,82,rural
126,Al Badārī,2,55,city
127,Shekou,1,99,beach
128,Benito Juarez,3,91,beach
129,Sérifos,3,35,rural
130,Sangkulirang,3,28,city
131,Huadian,3,21,city
132,Yacheng,1,43,beach
133,Raman,1,43,rural
134,Tulsa,1,40,beach
135,San Miguel,4,78,city
136,Ronggo,2,55,rural
137,Jincheng,3,75,beach
138,Saint-Quentin-en-Yvelines,1,83,beach
139,Tomarovka,5,27,beach
140,Žleby,1,60,rural
141,Jugezhuang,1,51,rural
142,Lidingö,1,26,rural
