city,rating,average_temp,type
Gierłoż,3,92,beach
Gvardeysk,4,22,city
Shangtang,2,79,city
Undurkhaan,3,75,city
Zhicheng,5,29,city
Kangar,1,43,city
Daduo,1,84,city
Xiongshan,3,30,city
Youfang,5,75,beach
Xijiao,3,57,city
Shangtianba,4,35,rural
Almirante Tamandaré,4,64,city
Tapiramutá,4,94,rural
Velizh,1,62,rural
Teuva,4,81,rural
Altanbulag,3,92,city
Manolo Fortich,4,87,city
Piła,2,91,city
Dadianzi,2,22,rural
Jiuchenggong,5,23,beach
Gijon,4,35,rural
Campo Alegre,4,72,beach
Oof,1,15,rural
Nezvěstice,5,44,rural
Al Fashn,5,72,rural
Naudero,3,42,city
Xingxi,1,61,rural
Nowosielce-Gniewosz,5,56,beach
Lazaro Cardenas,4,65,rural
Xianzong,3,46,rural
Berëzovka,4,19,city
Managua,3,84,rural
Olmos,3,43,city
Karasuk,5,35,city
Tonjongsari,4,48,beach
Kramators’k,1,84,city
Besançon,1,61,beach
Kanbula,4,91,beach
Namangan,4,63,rural
Pahārpur,5,94,city
Ha’erlong,4,31,city
Shumikha,4,70,city
Sankanan,5,74,beach
Johor Bahru,4,53,beach
Boulaide,1,20,city
Eskilstuna,4,61,city
Rueil-Malmaison,4,63,beach
Krzeszów,2,59,city
Huamali,1,60,rural
Las Vegas,1,88,rural
Solingen,4,35,rural
Tairan Camp,3,69,city
Arīḩā,4,66,beach
Ejido,2,46,beach
Cayambe,1,68,rural
Tarłów,3,21,rural
Donja Dubica,4,60,rural
Praia de Mira,2,70,city
Klagenfurt am Wörthersee,5,15,beach
Ribeiro,2,16,beach
Klatakan,1,94,rural
Kokembang,1,75,rural
Kandete,2,57,city
Kadujajar,3,93,beach
Flen,4,45,city
Kohtla-Järve,5,27,city
Dayan,1,44,city
Huzhen,2,33,city
Atães,2,64,city
Frankfurt am Main,1,16,city
Saltsjö-Boo,2,20,city
Zhouzai,3,15,city
Pesochnoye,2,61,beach
Yangcun,1,59,beach
Shahbā,3,69,rural
Álli Meriá,3,32,city
Vlissingen,3,39,rural
Clermont-Ferrand,4,50,city
Beigou,4,93,beach
Polo,3,71,city
Heicheng,5,25,rural
Zhenlai,2,26,rural
Karajeun,4,62,city
Saripin,4,89,beach
Anfusi,2,37,beach
Hưng Nguyên,4,39,beach
Lewin Kłodzki,3,69,rural
Juzhen,4,38,city
Nadezhda,5,51,rural
Brest,2,50,rural
Szamotuły,2,74,beach
Padangan,1,84,city
Longmenfan,4,74,beach
Quimper,3,26,beach
Stari Grad,5,47,rural
Laotai,5,57,beach
Mégara,1,75,beach
Banjar Swastika,1,78,rural
Port-aux-Français,3,22,rural
Poitiers,4,84,rural
Chambly,3,16,rural
Pasiripis,1,72,beach
